2020-11-08 00:00:32 || b'123456'.td || __cinit__ || list index out of range 
2020-11-08 00:01:12 || b'123456'.td || __cinit__ || list index out of range 
2020-11-08 00:01:42 || b'123456'.td || __cinit__ || list index out of range 
2020-11-08 00:02:15 || b'123456'.td || __cinit__ || list index out of range 
2020-11-08 00:02:48 || b'123456'.td || __cinit__ || list index out of range 
2020-11-08 00:03:07 || b'123456'.td || __cinit__ || list index out of range 
2020-11-08 00:04:41 || b'123456'.td || __cinit__ || list index out of range 
2020-11-08 00:05:06 || b'123456'.td || __cinit__ || list index out of range 
2020-11-08 00:07:07 || b'123456'.td || __cinit__ || list index out of range 
2020-11-08 00:08:55 || b'123456'.td || __cinit__ || list index out of range 
2020-11-08 00:09:55 || b'123456'.td || __cinit__ || list index out of range 
